width|height|background
914|978|-16774106
shape|x|y|border|color|size
square|200|-200|2|-724248|80.0
square|210|-210|2|-16737844|60.0
circle|236|-190|2|-2972392|50.0
circle|237|-200|2|-5435392|40.0
circle|237|-210|2|-724248|30.0
circle|238|-220|2|-16737844|20.0
circle|239|-230|2|-2972392|10.0
equilateral_triangle|-340|320|2|-724248|20.0
equilateral_triangle|-320|320|2|-5435392|20.0
equilateral_triangle|-300|320|2|-16737844|20.0
equilateral_triangle|-280|320|2|-2972392|20.0
equilateral_triangle|-260|320|2|-724248|20.0
equilateral_triangle|-240|320|2|-5435392|20.0
equilateral_triangle|-220|320|2|-16737844|20.0
equilateral_triangle|-200|320|2|-2972392|20.0
equilateral_triangle|-180|320|2|-724248|20.0
equilateral_triangle|-160|320|2|-5435392|20.0
equilateral_triangle|-140|320|2|-16737844|20.0
equilateral_triangle|-120|320|2|-2972392|20.0
equilateral_triangle|-100|320|2|-724248|20.0
equilateral_triangle|-80|320|2|-5435392|20.0
equilateral_triangle|-60|320|2|-16737844|20.0
equilateral_triangle|-40|320|2|-2972392|20.0
equilateral_triangle|-20|320|2|-724248|20.0
equilateral_triangle|0|320|2|-5435392|20.0
equilateral_triangle|20|320|2|-16737844|20.0
equilateral_triangle|40|320|2|-2972392|20.0
equilateral_triangle|60|320|2|-724248|20.0
equilateral_triangle|80|320|2|-5435392|20.0
equilateral_triangle|100|320|2|-16737844|20.0
equilateral_triangle|120|320|2|-2972392|20.0
equilateral_triangle|140|320|2|-724248|20.0
equilateral_triangle|160|320|2|-5435392|20.0
equilateral_triangle|180|320|2|-16737844|20.0
equilateral_triangle|200|320|2|-2972392|20.0
equilateral_triangle|220|320|2|-724248|20.0
equilateral_triangle|240|320|2|-5435392|20.0
equilateral_triangle|260|320|2|-16737844|20.0
equilateral_triangle|280|320|2|-2972392|20.0
equilateral_triangle|300|320|2|-724248|20.0
equilateral_triangle|320|320|2|-5435392|20.0
equilateral_triangle|-340|-340|2|-724248|20.0
equilateral_triangle|-320|-340|2|-5435392|20.0
equilateral_triangle|-300|-340|2|-16737844|20.0
equilateral_triangle|-280|-340|2|-2972392|20.0
equilateral_triangle|-260|-340|2|-724248|20.0
equilateral_triangle|-240|-340|2|-5435392|20.0
equilateral_triangle|-220|-340|2|-16737844|20.0
equilateral_triangle|-200|-340|2|-2972392|20.0
equilateral_triangle|-180|-340|2|-724248|20.0
equilateral_triangle|-160|-340|2|-5435392|20.0
equilateral_triangle|-140|-340|2|-16737844|20.0
equilateral_triangle|-120|-340|2|-2972392|20.0
equilateral_triangle|-100|-340|2|-724248|20.0
equilateral_triangle|-80|-340|2|-5435392|20.0
equilateral_triangle|-60|-340|2|-16737844|20.0
equilateral_triangle|-40|-340|2|-2972392|20.0
equilateral_triangle|-20|-340|2|-724248|20.0
equilateral_triangle|0|-340|2|-5435392|20.0
equilateral_triangle|20|-340|2|-16737844|20.0
equilateral_triangle|40|-340|2|-2972392|20.0
equilateral_triangle|60|-340|2|-724248|20.0
equilateral_triangle|80|-340|2|-5435392|20.0
equilateral_triangle|100|-340|2|-16737844|20.0
equilateral_triangle|120|-340|2|-2972392|20.0
equilateral_triangle|140|-340|2|-724248|20.0
equilateral_triangle|160|-340|2|-5435392|20.0
equilateral_triangle|180|-340|2|-16737844|20.0
equilateral_triangle|200|-340|2|-2972392|20.0
equilateral_triangle|220|-340|2|-724248|20.0
equilateral_triangle|240|-340|2|-5435392|20.0
equilateral_triangle|260|-340|2|-16737844|20.0
equilateral_triangle|280|-340|2|-2972392|20.0
equilateral_triangle|300|-340|2|-724248|20.0
equilateral_triangle|320|-340|2|-5435392|20.0
square|-340|320|2|-724248|20.0
square|-340|300|2|-5435392|20.0
square|-340|280|2|-16737844|20.0
square|-340|260|2|-2972392|20.0
square|-340|240|2|-724248|20.0
square|-340|220|2|-5435392|20.0
square|-340|200|2|-16737844|20.0
square|-340|180|2|-2972392|20.0
square|-340|160|2|-724248|20.0
square|-340|140|2|-5435392|20.0
square|-340|120|2|-16737844|20.0
square|-340|100|2|-2972392|20.0
square|-340|80|2|-724248|20.0
square|-340|60|2|-5435392|20.0
square|-340|40|2|-16737844|20.0
square|-340|20|2|-2972392|20.0
square|-340|0|2|-724248|20.0
square|-340|-20|2|-5435392|20.0
square|-340|-40|2|-16737844|20.0
square|-340|-60|2|-2972392|20.0
square|-340|-80|2|-724248|20.0
square|-340|-100|2|-5435392|20.0
square|-340|-120|2|-16737844|20.0
square|-340|-140|2|-2972392|20.0
square|-340|-160|2|-724248|20.0
square|-340|-180|2|-5435392|20.0
square|-340|-200|2|-16737844|20.0
square|-340|-220|2|-2972392|20.0
square|-340|-240|2|-724248|20.0
square|-340|-260|2|-5435392|20.0
square|-340|-280|2|-16737844|20.0
square|-340|-300|2|-2972392|20.0
square|320|320|2|-724248|20.0
square|320|300|2|-5435392|20.0
square|320|280|2|-16737844|20.0
square|320|260|2|-2972392|20.0
square|320|240|2|-724248|20.0
square|320|220|2|-5435392|20.0
square|320|200|2|-16737844|20.0
square|320|180|2|-2972392|20.0
square|320|160|2|-724248|20.0
square|320|140|2|-5435392|20.0
square|320|120|2|-16737844|20.0
square|320|100|2|-2972392|20.0
square|320|80|2|-724248|20.0
square|320|60|2|-5435392|20.0
square|320|40|2|-16737844|20.0
square|320|20|2|-2972392|20.0
square|320|0|2|-724248|20.0
square|320|-20|2|-5435392|20.0
square|320|-40|2|-16737844|20.0
square|320|-60|2|-2972392|20.0
square|320|-80|2|-724248|20.0
square|320|-100|2|-5435392|20.0
square|320|-120|2|-16737844|20.0
square|320|-140|2|-2972392|20.0
square|320|-160|2|-724248|20.0
square|320|-180|2|-5435392|20.0
square|320|-200|2|-16737844|20.0
square|320|-220|2|-2972392|20.0
square|320|-240|2|-724248|20.0
square|320|-260|2|-5435392|20.0
square|320|-280|2|-16737844|20.0
square|320|-300|2|-2972392|20.0
